celltype,gene,rank
0,LDHB,1
0,HSD17B1,2
0,COMT,3
0,PAGE4,4
0,DUSP9,5
0,ADIRF,6
0,MLLT1,7
0,ISYNA1,8
0,LY6E,9
0,ANKRD65,10
0,PEG10,11
0,BEX3,12
0,SMAGP,13
0,APOBEC2,14
0,ECHS1,15
0,MGST3,16
0,AL391421.1,17
0,XAGE3,18
0,PHLDA2,19
0,CDKN1C,20
1,CTSS,1
1,PTPRC,2
1,S100A9,3
1,LST1,4
1,SOD2,5
1,H3F3A,6
1,FTH1,7
1,BCL2A1,8
1,MALAT1,9
1,B2M,10
1,CMTM2,11
1,KLF6,12
1,TMSB4X,13
1,FTL,14
1,NEAT1,15
1,H3F3B,16
1,LITAF,17
1,AQP9,18
1,SAMSN1,19
1,S100A8,20
1,IFITM2,21
1,TXNIP,22
1,C5AR1,23
1,LAPTM5,24
1,BASP1,25
1,NAMPT,26
1,FPR1,27
1,HLA-C,28
1,CXCL8,29
1,SAT1,30
1,TYROBP,31
1,FCER1G,32
1,DUSP1,33
1,MXD1,34
1,TSC22D3,35
1,HLA-B,36
1,CLEC4E,37
1,SLC11A1,38
1,SRGN,39
1,PLAUR,40
1,ALOX5AP,41
1,SLC25A37,42
1,S100A4,43
1,TREM1,44
1,AIF1,45
1,LCP1,46
1,PHACTR1,47
1,G0S2,48
1,RILPL2,49
1,FCGR3B,50
10,FLT1,1
10,ID3,2
10,ITGA5,3
10,ITGB1,4
10,COL4A1,5
10,VGLL3,6
10,FERMT2,7
10,IGFBP3,8
10,C12orf75,9
10,CALU,10
10,CLTB,11
10,KRT7,12
10,MFAP5,13
10,FSTL1,14
10,KRT19,15
10,PAPPA2,16
10,CST6,17
10,SFRP1,18
10,ADAMTS1,19
10,EBI3,20
10,COL4A2,21
10,QSOX1,22
10,LGALS3BP,23
10,HTRA1,24
10,IL6ST,25
10,AHNAK,26
10,SDC4,27
10,PLOD2,28
10,EPAS1,29
10,KIF21A,30
10,FN1,31
10,CYR61,32
10,KRT8,33
10,DIO2,34
10,IL1RAP,35
10,FBN1,36
10,TPM1,37
10,FLNB,38
10,FSTL3,39
10,TIMP3,40
10,SERPINE1,41
10,PDLIM5,42
10,SERPING1,43
